Height,Weight,Sex
179.22795937134327,82.18485313436783,male
161.27258322035254,72.82642991456488,female
163.36972612619374,61.73994267340041,female
156.54016593441713,50.427042259798064,female
155.05035044282192,51.33879679595668,female
168.0265809303324,68.44521732363312,female
170.2017268236042,68.64398349194057,female
156.82327731517674,59.33219024152281,female
158.1526684579083,67.11559678232304,female
174.95152368287435,82.694114226674,male
170.6424832322011,74.7427564122656,female
174.22707225919999,80.27880139039246,male
182.53924693052195,92.30107726529063,male
182.7005238326066,97.5450009327476,male
159.68568650201595,60.189451543287284,female
167.01852209629206,75.73429661989006,male
170.57534731423215,79.93181525924243,male
182.68977039794103,90.11741488046648,male
182.36378868284228,94.97297048280929,male
162.6992190440681,67.9271139310811,female
170.97120628284588,71.86508567963368,male
180.7329805649395,86.57318503427894,male
172.01469362440935,79.66673505557104,male
164.23431544909317,61.14816992855913,female
147.8625798082845,44.846392089935684,female
177.1062884212997,85.48128914334535,male
169.7211440149823,67.88420557706,female
178.38524426843696,94.08099067109163,male
187.9930364178102,103.39219627464733,male
165.70487164404173,61.52906728943855,female
185.43548678051027,91.51040406183289,male
185.0907147739769,95.86345801981295,male
188.96954592868138,96.45025800078791,male
154.47025094018198,49.30936907863215,female
160.1742670213988,60.75583864089549,female
175.70784302000737,89.1787707550943,male
163.81688743935953,67.76793582165135,female
163.0543169282054,63.82888823354274,female
172.9075767535506,84.15679711272375,male
170.75771043288444,82.80163382344077,male
168.04037555785382,65.18546685193958,female
173.95717713999485,87.87301623357496,male
181.95393384806567,95.98382550900156,male
164.2258546360943,65.23881068627564,female
168.54458269746522,71.11175010108228,female
177.31508128878122,73.77719320645508,female
164.3702725963894,64.10710391417116,female
176.88575214537082,84.36100442395062,male
151.86665584649944,58.17507013235116,female
151.94974769204822,55.40745463347879,female
170.99158112722566,80.35925094244361,male
164.98585007852054,,female
188.70431279147326,100.84639439952056,male
173.463322455725,79.83558901584311,male
174.15787322844972,82.05023205946739,male
152.27278088756194,50.45417392161098,female
164.30905180221706,54.471469954936005,female
164.66869091794504,67.57822790531112,female
163.78942144439196,74.68247124491705,male
189.28326910137602,98.21792022082037,male
166.12330131870442,72.3958977730448,male
155.3308196817332,61.42800926943147,female
179.0851520432737,97.19108688366704,male
164.34907064060695,69.20921017550282,female
176.66209294087304,89.84746743404216,male
176.39383239123185,90.18688801798453,male
183.56153950238942,94.15947990428147,male
161.14585481826782,61.18605827820441,female
174.25012827929817,84.80626638883346,male
168.57355276915638,75.47871570506938,male
175.68914839022298,87.00845159547089,male
178.43083467086888,92.04369186792101,male
178.37172806781032,89.33472694145205,male
157.6176780864119,56.64322659250574,female
178.86602216687496,86.56389708014397,male
168.1919797655272,64.88309404762,female
168.5121134078957,74.31344967039536,female
183.22682667751596,97.31226643468217,male
179.97665342614548,89.6877008472213,male
164.82168002731595,71.32716258606155,male
164.71197367033565,65.7287358700343,female
160.54466615278014,58.94627655867452,female
175.23987969631915,,male
182.5084541089294,96.53122271882094,male
159.00973647993925,53.129754897136934,female
155.49487543678083,54.10248784488076,female
175.27599537474757,86.55373753459192,male
173.07489944908338,78.99674517218071,male
151.98778850208885,58.0361913580354,female
166.47798638256882,76.33969993157778,male
174.08900510011287,81.45234391793325,male
162.306290978969,64.79477187198701,female
